Date,Open,High,Low,Close,Volume,Adj Close
4/7/2017,235.149994,236,234.639999,235.199997,69005100,235.199997
4/6/2017,234.940002,236.039993,234.429993,235.440002,65415700,235.440002
4/5/2017,236.259995,237.389999,234.539993,234.779999,108800600,234.779999
4/4/2017,235,235.580002,234.559998,235.479996,56466200,235.479996
4/3/2017,235.800003,236.029999,233.910004,235.330002,85546500,235.330002
3/31/2017,235.899994,236.509995,235.679993,235.740005,73733100,235.740005
3/30/2017,235.470001,236.520004,235.270004,236.289993,56737900,236.289993
3/29/2017,234.990005,235.809998,234.729996,235.539993,61950400,235.539993
3/28/2017,233.270004,235.809998,233.139999,235.320007,93483900,235.320007
3/27/2017,231.929993,233.919998,231.610001,233.619995,87454500,233.619995
3/24/2017,234.380005,235.039993,232.960007,233.860001,112504900,233.860001
3/23/2017,234.279999,235.339996,233.600006,234.029999,100410300,234.029999
3/22/2017,233.770004,234.610001,233.050003,234.279999,97569200,234.279999
3/21/2017,237.470001,237.610001,233.580002,233.729996,131809300,233.729996
3/20/2017,237.029999,237.360001,236.320007,236.770004,52537000,236.770004
3/17/2017,237.75,237.970001,237.029999,237.029999,89002100,237.029999
3/16/2017,239.110001,239.199997,238.100006,238.479996,78344000,237.446998
3/15/2017,237.559998,239.440002,237.289993,238.949997,96081800,237.914964
3/14/2017,237.179993,237.240005,236.190002,236.899994,59880800,235.873841
3/13/2017,237.619995,237.860001,237.240005,237.809998,57256800,236.779902
3/10/2017,237.970001,238.020004,236.589996,237.690002,81991700,236.660427
3/9/2017,236.699997,237.240005,235.740005,236.860001,90683900,235.83402
3/8/2017,237.339996,237.639999,236.399994,236.559998,78168800,235.535317
3/7/2017,237.360001,237.770004,236.759995,237,65103700,235.973413
